,ons_code,euref,mp_x,constituency,revoke_sign_count,nodeal_sign_count,election,electorate,majority,resultOfElection,turnout,mp_name,mp_name_match,iv2_e,mp_y,iv2_c,iv2_d,iv2_g,iv1_b,iv1_d,iv1_h,iv1_j,iv1_k,iv1_l,iv1_m,iv1_o,mv3,mv2,mv1
432,E14000702,0.487730339,Jack Lopresti MP,Filton and Bradley Stoke,9121,745,2017 General Election,72483,4190,Con Hold,50702,Jack Lopresti,90.0,NoVote,Jack Lopresti,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
433,E14000886,0.485843639,Stuart Andrew MP,Pudsey,8591,732,2017 General Election,72622,331,Con Hold,53959,Stuart Andrew,90.0,NoVote,Stuart Andrew,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote
434,E14001056,0.484619161,Mr Steve Baker MP,Wycombe,8688,667,2017 General Election,77087,6578,Con Hold,53493,Mr Steve Baker,90.0,NoVote,Mr Steve Baker,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote
435,S14000004,0.482443342,Kirstene Hair MP,Angus,4400,423,2017 General Election,63840,2645,Con Gain,40192,Kirstene Hair,90.0,NoVote,Kirstene Hair,NoVote,NoVote,NoVote,,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,,AyeVote,AyeVote,AyeVote
436,W07000054,0.480645083,David T. C. Davies MP,Monmouth,7595,675,2017 General Election,64909,8206,Con Hold,49734,David T. C. Davies,92.0,NoVote,David T. C. Davies,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote
437,E14000831,0.480030798,Chi Onwurah MP,Newcastle upon Tyne Central,6168,498,2017 General Election,55368,14937,Lab Hold,37094,Chi Onwurah,88.0,AyeVote,Chi Onwurah,AyeVote,AyeVote,AyeVote,NoVote,AyeVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
438,E14000893,0.479769787,Crispin Blunt MP,Reigate,10487,925,2017 General Election,74628,17614,Con Hold,53823,Crispin Blunt,90.0,NoVote,Crispin Blunt,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote
439,N06000006,0.4797425591201637,Mr Gregory Campbell MP,East Londonderry,4082,378,2017 General Election,67038,8842,DUP Hold,41030,Mr Gregory Campbell,93.0,NoVote,Mr Gregory Campbell,NoVote,NoVote,NoVote,,,,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote
440,E14001032,0.479650184,Lyn Brown MP,West Ham,12419,403,2017 General Election,92418,36754,Lab Hold,60708,Lyn Brown,86.0,AyeVote,Lyn Brown,AyeVote,AyeVote,AyeVote,NoVote,,NoVote,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
441,E14000708,0.479628137,Maria Eagle MP,Garston and Halewood,7058,606,2017 General Election,75248,32149,Lab Hold,53522,Maria Eagle,88.0,AyeVote,Maria Eagle,AyeVote,AyeVote,AyeVote,NoVote,,NoVote,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
