,ons_code,euref,mp_x,constituency,revoke_sign_count,nodeal_sign_count,election,electorate,majority,resultOfElection,turnout,mp_name,mp_name_match,iv2_e,mp_y,iv2_c,iv2_d,iv2_g,iv1_b,iv1_d,iv1_h,iv1_j,iv1_k,iv1_l,iv1_m,iv1_o,mv3,mv2,mv1
34,E14000546,0.68322755,John Mann MP,Bassetlaw,3408,1289,2017 General Election,78540,4852,Lab Hold,52250,John Mann,86.0,NoVote,John Mann,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
35,E14000541,0.681881304,Dan Jarvis MP,Barnsley Central,2641,869,2017 General Election,64204,15546,Lab Hold,39087,Dan Jarvis,87.0,NoVote,Dan Jarvis,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,NoVote,NoVote,NoVote,NoVote,NoVote
36,E14001029,0.681750179,Tom Watson MP,West Bromwich East,1947,515,2017 General Election,63846,7713,Lab Hold,39098,Tom Watson,87.0,AyeVote,Tom Watson,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
37,E14001050,0.6814495630492144,Rt Hon Pat McFadden MP,Wolverhampton South East,1775,506,2017 General Election,60301,8514,Lab Hold,36304,Mr Pat McFadden,70.0,AyeVote,Mr Pat McFadden,AyeVote,AyeVote,,NoVote,,NoVote,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
38,E14000740,0.6812554559161971,Jon Trickett MP,Hemsworth,3105,1006,2017 General Election,71870,10174,Lab Hold,45944,Jon Trickett,89.0,,Jon Trickett,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,,NoVote,NoVote,NoVote,NoVote
39,E14000773,0.679906801,Emma Hardy MP,Kingston upon Hull West and Hessle,2767,773,2017 General Election,60181,8025,Lab Hold,34565,Emma Hardy,87.0,AyeVote,Emma Hardy,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
40,E14000573,0.678141246,Gordon Marsden MP,Blackpool South,2227,924,2017 General Election,58470,2523,Lab Hold,34953,Gordon Marsden,90.0,AyeVote,Gordon Marsden,AyeVote,AyeVote,,NoVote,AyeVote,NoVote,AyeVote,AyeVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote
41,E14000531,0.6779634957938896,Wendy Morton MP,Aldridge-Brownhills,2531,790,2017 General Election,60363,14307,Con Hold,40235,Wendy Morton,89.0,NoVote,Wendy Morton,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,
42,E14000854,0.6776303,Craig Tracey MP,North Warwickshire,3068,1131,2017 General Election,72277,8510,Con Hold,47178,Craig Tracey,89.0,NoVote,Craig Tracey,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote
43,E14000729,0.677323179,Rt Hon Robert Halfon MP,Harlow,3816,972,2017 General Election,67699,7031,Con Hold,44846,Robert Halfon,72.0,NoVote,Robert Halfon,NoVote,AyeVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote,,AyeVote,AyeVote,NoVote
44,E14001049,0.6770525192764657,Emma Reynolds MP,Wolverhampton North East,1955,652,2017 General Election,60770,4587,Lab Hold,36508,Emma Reynolds,90.0,AyeVote,Emma Reynolds,AyeVote,AyeVote,,NoVote,AyeVote,NoVote,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
45,E14000891,0.676748838,Anna Turley MP,Redcar,2265,1170,2017 General Election,66836,9485,Lab Hold,42560,Anna Turley,88.0,AyeVote,Anna Turley,AyeVote,,AyeVote,NoVote,,NoVote,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
46,E14000888,0.676526737,Rt Hon Mark Francois MP,Rayleigh and Wickford,4385,1282,2017 General Election,78556,23450,Con Hold,55323,Mr Mark Francois,72.0,NoVote,Mr Mark Francois,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote
47,E14000544,0.671358773,Mr John Baron MP,Basildon and Billericay,4381,1035,2017 General Election,69149,13400,Con Hold,44918,Mr John Baron,90.0,NoVote,Mr John Baron,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,,NoVote,NoVote,NoVote
48,E14000572,0.669103424,Paul Maynard MP,Blackpool North and Cleveleys,2717,998,2017 General Election,63967,2023,Con Hold,41007,Paul Maynard,89.0,NoVote,Paul Maynard,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote
49,E14000903,0.667219886405547,Rt Hon Sir Kevin Barron MP,Rother Valley,3323,1111,2017 General Election,75230,3882,Lab Hold,49488,Sir Kevin Barron,76.0,NoVote,Sir Kevin Barron,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
50,E14000668,0.667048397,Rt Hon Dame Rosie Winterton MP,Doncaster Central,3215,1039,2017 General Election,71718,10131,Lab Hold,43024,,,,,,,,,,,,,,,,,,
51,E14000952,0.666739569,Rt Hon Elizabeth Truss MP,South West Norfolk,4406,1375,2017 General Election,77874,18312,Con Hold,52416,Elizabeth Truss,75.0,,Elizabeth Truss,,,,,,,,,,,,AyeVote,AyeVote,AyeVote
52,E14000609,0.6661279897,Julie Cooper MP,Burnley,2370,978,2017 General Election,64709,6353,Lab Hold,40290,Julie Cooper,89.0,,Julie Cooper,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,,NoVote,NoVote,NoVote,NoVote
53,E14000722,0.66589868,James Morris MP,Halesowen and Rowley Regis,3210,801,2017 General Election,68856,5253,Con Hold,44379,James Morris,89.0,NoVote,James Morris,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
54,E14000879,0.6644024004,Johnny Mercer MP,"Plymouth, Moor View",3028,1233,2017 General Election,69342,5019,Con Hold,45417,Johnny Mercer,90.0,NoVote,Johnny Mercer,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote
55,E14000970,0.663249694,Alex Cunningham MP,Stockton North,2721,979,2017 General Election,66285,8715,Lab Hold,42731,Alex Cunningham,91.0,AyeVote,Alex Cunningham,AyeVote,AyeVote,,NoVote,AyeVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
56,E14000920,0.663178181,Mr Clive Betts MP,Sheffield South East,2895,901,2017 General Election,68945,11798,Lab Hold,43596,Mr Clive Betts,90.0,AyeVote,Mr Clive Betts,AyeVote,AyeVote,,NoVote,AyeVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
57,E14000596,0.662269169,Andrew Percy MP,Brigg and Goole,2879,1176,2017 General Election,66069,12363,Con Hold,45057,Andrew Percy,89.0,NoVote,Andrew Percy,NoVote,AyeVote,NoVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote
58,E14000989,0.66191034,Lucy Allan MP,Telford,3563,1048,2017 General Election,68106,720,Con Hold,44686,Lucy Allan,87.0,NoVote,Lucy Allan,NoVote,NoVote,NoVote,,,,,,,,,AyeVote,NoVote,NoVote
59,E14000819,0.6608364663848866,Andy McDonald MP,Middlesbrough,2536,745,2017 General Election,61059,13873,Lab Hold,35637,Andy McDonald,90.0,AyeVote,Andy McDonald,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,AyeVote,,NoVote,NoVote,NoVote
60,E14000986,0.659923587,Rt Hon Christopher Pincher MP,Tamworth,3535,1146,2017 General Election,71308,12347,Con Hold,47110,Christopher Pincher,79.0,NoVote,Christopher Pincher,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote
61,E14000677,0.659633748,Grahame Morris MP,Easington,1911,898,2017 General Election,62385,14892,Lab Hold,36364,Grahame Morris,90.0,NoVote,Grahame Morris,AyeVote,NoVote,,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote
62,E14000758,0.658191278,Graham P Jones MP,Hyndburn,2646,1016,2017 General Election,73111,5815,Lab Hold,45202,Graham P Jones,90.0,AyeVote,Graham P Jones,AyeVote,,,NoVote,,NoVote,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
63,E14000859,0.657782861,Sir Henry Bellingham MP,North West Norfolk,4109,990,2017 General Election,72062,13788,Con Hold,48811,Sir Henry Bellingham,93.0,NoVote,Sir Henry Bellingham,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote
64,E14000606,0.655347732,Mr Charles Walker MP,Broxbourne,4615,882,2017 General Election,73502,15792,Con Hold,47485,Mr Charles Walker,92.0,NoVote,Mr Charles Walker,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
65,E14000715,0.6537720795,Adam Holloway MP,Gravesham,4402,1082,2017 General Election,72954,9347,Con Hold,48997,Adam Holloway,90.0,NoVote,Adam Holloway,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote
66,E14000927,0.653644888,Gordon Henderson MP,Sittingbourne and Sheppey,4026,1414,2017 General Election,81717,15211,Con Hold,51389,Gordon Henderson,91.0,NoVote,Gordon Henderson,NoVote,NoVote,NoVote,AyeVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote
67,E14000533,0.652991247,Nigel Mills MP,Amber Valley,3495,972,2017 General Election,68065,8300,Con Hold,45811,Nigel Mills,88.0,NoVote,Nigel Mills,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,NoVote
68,E14000820,0.652655298,Mr Simon Clarke MP,Middlesbrough South and East Cleveland,3424,1190,2017 General Election,72336,1020,Con Gain,47620,Mr Simon Clarke,91.0,NoVote,Mr Simon Clarke,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote
69,E14000558,0.652551375,Rt Hon Sir David Evennett MP,Bexleyheath and Crayford,4444,959,2017 General Election,65315,9073,Con Hold,45189,Sir David Evennett,78.0,NoVote,Sir David Evennett,NoVote,NoVote,NoVote,,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote
70,E14000945,0.6524281718789728,Rt Hon Gavin Williamson MP,South Staffordshire,3339,1055,2017 General Election,73441,22733,Con Hold,51109,Gavin Williamson,76.0,,Gavin Williamson,,,,,,,,,,,,AyeVote,AyeVote,AyeVote
71,E14000852,0.651825616,Rt Hon Sir Roger Gale MP,North Thanet,5082,1186,2017 General Election,72651,10738,Con Hold,48325,Sir Roger Gale,74.0,NoVote,Sir Roger Gale,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
72,E14000805,0.649100879,Yvonne Fovargue MP,Makerfield,3247,1023,2017 General Election,74259,13542,Lab Hold,46933,Yvonne Fovargue,91.0,NoVote,Yvonne Fovargue,AyeVote,NoVote,NoVote,NoVote,,,AyeVote,AyeVote,,NoVote,,NoVote,NoVote,NoVote
73,E14000972,0.648466478,Gareth Snell MP,Stoke-on-Trent Central,2756,666,2017 General Election,56915,3897,Lab Hold,33145,Gareth Snell,89.0,NoVote,Gareth Snell,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote
74,E14000610,0.647931575,Andrew Griffiths MP,Burton,4204,889,2017 General Election,73954,10047,Con Hold,49911,Andrew Griffiths,91.0,NoVote,Andrew Griffiths,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
75,E14000576,0.64792305,Rt Hon Nick Gibb MP,Bognor Regis and Littlehampton,5168,1221,2017 General Election,75827,17494,Con Hold,51352,Nick Gibb,64.0,NoVote,Nick Gibb,NoVote,NoVote,NoVote,,,,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
76,E14000966,0.646904325,Rt Hon Karen Bradley MP,Staffordshire Moorlands,3649,839,2017 General Election,63260,10830,Con Hold,44655,,,,,,,,,,,,,,,,,,
77,E14000868,0.645059931,Mr Marcus Jones MP,Nuneaton,3415,938,2017 General Election,69201,4739,Con Hold,46067,Mr Marcus Jones,91.0,NoVote,Mr Marcus Jones,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
78,E14000961,0.640636337,Steve Double MP,St Austell and Newquay,5775,1358,2017 General Election,78609,11142,Con Hold,54212,Steve Double,89.0,NoVote,Steve Double,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,NoVote
79,E14000659,0.639834539,Gareth Johnson MP,Dartford,5299,1140,2017 General Election,78506,13186,Con Hold,54224,Gareth Johnson,90.0,NoVote,Gareth Johnson,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote
80,E14000626,0.639053918,Tracey Crouch MP,Chatham and Aylesford,3940,1059,2017 General Election,70419,10458,Con Hold,44890,Tracey Crouch,90.0,NoVote,Tracey Crouch,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,,AyeVote,AyeVote,NoVote
81,E14000866,0.6380805601,Alex Norris MP,Nottingham North,2951,665,2017 General Election,66886,11160,Lab Hold,38319,Alex Norris,88.0,AyeVote,Alex Norris,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
82,E14000883,0.6369341445681705,Rt Hon Penny Mordaunt MP,Portsmouth North,4490,1186,2017 General Election,71374,9965,Con Hold,47210,Penny Mordaunt,74.0,,Penny Mordaunt,,,,,,,,,,,,AyeVote,AyeVote,AyeVote
83,E14000898,0.6368812299374894,Kelly Tolhurst MP,Rochester and Strood,5627,1214,2017 General Election,82702,9850,Con Hold,53769,Kelly Tolhurst,90.0,NoVote,Kelly Tolhurst,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
84,E14000976,0.6366398328043966,Margot James MP,Stourbridge,3785,910,2017 General Election,70215,7654,Con Hold,47135,Margot James,89.0,AyeVote,Margot James,AyeVote,,,NoVote,AyeVote,,AyeVote,NoVote,,,NoVote,AyeVote,AyeVote,AyeVote
85,E14000683,0.636621847,Rt Hon Sir Greg Knight MP,East Yorkshire,4505,1380,2017 General Election,81065,15006,Con Hold,53956,Sir Greg Knight,75.0,NoVote,Sir Greg Knight,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote
86,E14000924,0.636577392,Mark Spencer MP,Sherwood,4525,1195,2017 General Election,76196,5198,Con Hold,53364,Mark Spencer,89.0,NoVote,Mark Spencer,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,,AyeVote,AyeVote,AyeVote
87,E14000711,0.6358208955223881,Rehman Chishti MP,Gillingham and Rainham,4230,1088,2017 General Election,72903,9430,Con Hold,48868,Rehman Chishti,90.0,NoVote,Rehman Chishti,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,,AyeVote,NoVote,NoVote
88,E14000588,0.6356121775069772,Judith Cummins MP,Bradford South,2502,869,2017 General Election,67752,6700,Lab Hold,41049,Judith Cummins,90.0,,Judith Cummins,AyeVote,AyeVote,,NoVote,,,AyeVote,AyeVote,,,NoVote,NoVote,NoVote,NoVote
89,E14001022,0.63414219,Peter Aldous MP,Waveney,4375,1235,2017 General Election,80763,9215,Con Hold,52674,Peter Aldous,89.0,NoVote,Peter Aldous,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
90,E14000785,0.632878009,Jo Platt MP,Leigh,3769,969,2017 General Election,76202,9554,Lab Hold,46874,Jo Platt,84.0,,Jo Platt,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,,NoVote,NoVote,NoVote,NoVote
91,E14001034,0.632487003,Rt Hon Matt Hancock MP,West Suffolk,5949,1131,2017 General Election,77348,17063,Con Hold,51746,Matt Hancock,71.0,,Matt Hancock,,,,,,,,,,,,AyeVote,AyeVote,AyeVote
92,E14000695,0.632237912,Maggie Throup MP,Erewash,4616,967,2017 General Election,72995,4534,Con Hold,49781,Maggie Throup,90.0,NoVote,Maggie Throup,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
93,E14000875,0.631542958,Andrew Stephenson MP,Pendle,2705,971,2017 General Election,64962,1279,Con Hold,44854,Andrew Stephenson,92.0,NoVote,Andrew Stephenson,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,,,AyeVote
94,E14001058,0.6314547474,Mark Garnier MP,Wyre Forest,4339,1047,2017 General Election,77758,13334,Con Hold,51129,Mark Garnier,89.0,AyeVote,Mark Garnier,,,NoVote,,NoVote,AyeVote,NoVote,NoVote,NoVote,,AyeVote,AyeVote,AyeVote,AyeVote
95,E14000579,0.630276743,Yasmin Qureshi MP,Bolton South East,2604,728,2017 General Election,68886,13126,Lab Hold,42323,Yasmin Qureshi,90.0,AyeVote,Yasmin Qureshi,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
96,E14001025,0.630196654,Mr Peter Bone MP,Wellingborough,4946,1224,2017 General Election,79254,12460,Con Hold,53240,Mr Peter Bone,90.0,NoVote,Mr Peter Bone,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote
97,E14000670,0.630096124,Charlie Elphicke MP,Dover,5506,1406,2017 General Election,74564,6437,Con Hold,51966,Charlie Elphicke,91.0,NoVote,Charlie Elphicke,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote
98,E14000561,0.63,Jack Dromey MP,"Birmingham, Erdington",2947,653,2017 General Election,65067,7285,Lab Hold,37217,Jack Dromey,88.0,AyeVote,Jack Dromey,AyeVote,AyeVote,,NoVote,AyeVote,NoVote,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
99,E14001039,0.629588907,Lisa Nandy MP,Wigan,3894,958,2017 General Election,75359,16027,Lab Hold,47542,Lisa Nandy,87.0,,Lisa Nandy,AyeVote,AyeVote,AyeVote,NoVote,AyeVote,,AyeVote,AyeVote,AyeVote,,,NoVote,NoVote,NoVote
100,E14001009,0.6276506724901525,Mary Creagh MP,Wakefield,3998,987,2017 General Election,70340,2176,Lab Hold,46284,Mary Creagh,88.0,AyeVote,Mary Creagh,AyeVote,,AyeVote,NoVote,,NoVote,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
101,E14000878,0.626801331,Fiona Onasanya MP,Peterborough,5117,942,2017 General Election,71522,607,Lab Gain,47738,Fiona Onasanya,90.0,AyeVote,Fiona Onasanya,NoVote,AyeVote,,NoVote,AyeVote,NoVote,NoVote,,,AyeVote,NoVote,NoVote,NoVote,NoVote
102,E14000736,0.62617908,Alan Mak MP,Havant,4928,1110,2017 General Election,72470,15956,Con Hold,46314,Alan Mak,84.0,NoVote,Alan Mak,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote
103,E14000999,0.62453668,Kevin Foster MP,Torbay,5165,1286,2017 General Election,75931,14283,Con Hold,51174,Kevin Foster,89.0,NoVote,Kevin Foster,NoVote,NoVote,NoVote,AyeVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
104,E14000754,0.6243418578412937,Bridget Phillipson MP,Houghton and Sunderland South,2692,976,2017 General Election,68123,12341,Lab Hold,41480,Bridget Phillipson,92.0,AyeVote,Bridget Phillipson,AyeVote,,AyeVote,NoVote,,NoVote,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
105,E14000869,0.624304876,Rt Hon James Brokenshire MP,Old Bexley and Sidcup,5185,985,2017 General Election,66005,15466,Con Hold,48042,James Brokenshire,77.0,,James Brokenshire,,,,,,,,,,,,AyeVote,AyeVote,AyeVote
106,E14000747,0.6242561163764602,Liz McInnes MP,Heywood and Middleton,3945,1081,2017 General Election,79901,7617,Lab Hold,49865,Liz McInnes,88.0,,Liz McInnes,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,,NoVote,NoVote,NoVote,NoVote
107,N06000012,0.6222445695897023,Ian Paisley MP,North Antrim,3761,633,2017 General Election,75657,20643,DUP Hold,48460,Ian Paisley,88.0,NoVote,Ian Paisley,NoVote,NoVote,NoVote,,,,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote
108,E14000595,0.620639832,Mr Ian Liddell-Grainger MP,Bridgwater and West Somerset,5730,1242,2017 General Election,89294,15448,Con Hold,58267,Mr Ian Liddell-Grainger,94.0,NoVote,Mr Ian Liddell-Grainger,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote
109,E14000944,0.6205253266511545,Mrs Emma Lewell-Buck MP,South Shields,2973,840,2017 General Election,63433,14508,Lab Hold,40772,Mrs Emma Lewell-Buck,93.0,NoVote,Mrs Emma Lewell-Buck,AyeVote,NoVote,NoVote,NoVote,,,AyeVote,AyeVote,,NoVote,NoVote,NoVote,NoVote,NoVote
110,E14000843,0.620516723,Lee Rowley MP,North East Derbyshire,4192,974,2017 General Election,72097,2860,Con Gain,50380,Lee Rowley,87.0,NoVote,Lee Rowley,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote
111,W07000072,0.6202804437,Nick Smith MP,Blaenau Gwent,1885,520,2017 General Election,51227,11907,Lab Hold,32384,Nick Smith,87.0,AyeVote,Nick Smith,AyeVote,AyeVote,,NoVote,,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,
112,E14000707,0.619558242,Rt Hon Sir Edward Leigh MP,Gainsborough,4557,1253,2017 General Election,75893,17023,Con Hold,51425,Sir Edward Leigh,76.0,NoVote,Sir Edward Leigh,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote
113,E14000762,0.6194633409,Mr Bob Seely MP,Isle of Wight,8729,1654,2017 General Election,110683,21069,Con Hold,74479,Mr Bob Seely,89.0,NoVote,Mr Bob Seely,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
114,E14001020,0.6185133239831697,Mrs Sharon Hodgson MP,Washington and Sunderland West,2939,925,2017 General Election,67280,12940,Lab Hold,40574,Mrs Sharon Hodgson,92.0,AyeVote,Mrs Sharon Hodgson,AyeVote,AyeVote,,NoVote,AyeVote,NoVote,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
115,E14000713,0.618151926,Caroline Dinenage MP,Gosport,4436,1422,2017 General Election,74152,17211,Con Hold,49481,Caroline Dinenage,92.0,NoVote,Caroline Dinenage,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote
116,E14000537,0.6180980255110956,Angela Rayner MP,Ashton-under-Lyne,3353,801,2017 General Election,65751,11295,Lab Hold,39773,Angela Rayner,90.0,AyeVote,Angela Rayner,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
117,E14000565,0.618,Richard Burden MP,"Birmingham, Northfield",4436,825,2017 General Election,72322,4667,Lab Hold,44348,Richard Burden,90.0,AyeVote,Richard Burden,AyeVote,AyeVote,AyeVote,NoVote,AyeVote,NoVote,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
118,W07000048,0.617925537,Carolyn Harris MP,Swansea East,3231,632,2017 General Election,58521,13168,Lab Hold,35159,Carolyn Harris,90.0,,Carolyn Harris,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,,NoVote,NoVote,NoVote,NoVote
119,E14000765,0.617773494,Mr Stephen Hepburn MP,Jarrow,3531,828,2017 General Election,64778,17263,Lab Hold,43023,Mr Stephen Hepburn,92.0,NoVote,Mr Stephen Hepburn,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote
120,E14000948,0.61691047,Craig Mackinlay MP,South Thanet,6741,1201,2017 General Election,72334,6387,Con Hold,49753,Craig Mackinlay,91.0,NoVote,Craig Mackinlay,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote
121,E14000834,0.616449863,Paul Farrelly MP,Newcastle-under-Lyme,4253,907,2017 General Election,65596,30,Lab Hold,43842,Paul Farrelly,90.0,AyeVote,Paul Farrelly,AyeVote,AyeVote,AyeVote,NoVote,AyeVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
122,E14000704,0.616404102,Damian Collins MP,Folkestone and Hythe,7435,1564,2017 General Election,86272,15411,Con Hold,58875,Damian Collins,90.0,NoVote,Damian Collins,NoVote,AyeVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote
123,E14001012,0.6163527586970973,Valerie Vaz MP,Walsall South,2863,572,2017 General Election,67417,8892,Lab Hold,44072,Valerie Vaz,88.0,AyeVote,Valerie Vaz,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
