,ons_code,euref,constituency,revoke_sign_count,nodeal_sign_count,election,electorate,majority,resultOfElection,turnout
563,E14000808,0.38212184,"Manchester, Gorton",7853,259,2017 General Election,75362,31730,Lab Hold,45953
564,E14000874,0.38029241,Oxford West and Abingdon,17523,625,2017 General Election,75574,816,LD Gain,60020
565,S14000059,0.3800555298,West Dunbartonshire,4909,262,2017 General Election,67602,2288,SNP Hold,44083
566,S14000045,0.3794096947,Midlothian,7151,253,2017 General Election,68328,885,Lab Gain,45273
567,E14000692,0.37884815862817267,"Enfield, Southgate",10274,374,2017 General Election,65210,4355,Lab Gain,48328
568,E14000960,0.37832281,St Albans,13747,574,2017 General Election,72811,6109,Con Hold,56998
569,S14000047,0.377103561,Motherwell and Wishaw,4292,295,2017 General Election,68215,318,SNP Hold,41926
570,S14000056,0.375699018,Rutherglen and Hamilton West,6633,317,2017 General Election,80098,265,Lab Gain,50872
571,E14000779,0.374228475,Leeds North East,10146,392,2017 General Election,70112,16991,Lab Hold,52999
572,N06000011,0.3705711789005402,Newry and Armagh,4979,276,2017 General Election,78266,12489,SF Hold,53579
573,S14000012,0.369891249,"Cumbernauld, Kilsyth and Kirkintilloch East",5750,272,2017 General Election,66554,4264,SNP Hold,43833
574,S14000019,0.369324131,"East Kilbride, Strathaven and Lesmahagow",7371,328,2017 General Election,80442,3866,SNP Hold,54102
575,E14000807,0.363565763,Manchester Central,11446,504,2017 General Election,90261,31445,Lab Hold,49720
576,S14000049,0.363147835,North East Fife,8133,372,2017 General Election,58685,2,SNP Hold,41822
577,S14000038,0.3620342137,Inverclyde,4623,258,2017 General Election,58853,384,SNP Hold,39093
578,S14000042,0.359562057,Lanark and Hamilton East,5912,341,2017 General Election,77313,266,SNP Hold,50470
579,W07000057,0.35845443,Arfon,5378,277,2017 General Election,41367,92,PC Hold,28208
580,E14000718,0.356656796,Greenwich and Woolwich,15261,485,2017 General Election,77190,20714,Lab Hold,53106
581,E14000564,0.356,"Birmingham, Ladywood",5248,219,2017 General Election,70023,28714,Lab Hold,41307
582,S14000052,0.355479443,Paisley and Renfrewshire North,6558,297,2017 General Election,67436,2613,SNP Hold,46615
583,E14000780,0.354060965,Leeds North West,8861,518,2017 General Election,68152,4224,Lab Gain,46287
584,S14000020,0.3539559572,East Lothian,9888,374,2017 General Election,79093,3083,Lab Gain,55878
585,E14000787,0.353705046,Lewisham East,10633,393,2017 General Election,68124,21213,Lab Hold,47201
586,E14000795,0.352616254,"Liverpool, Wavertree",6963,379,2017 General Election,62411,29466,Lab Hold,43640
587,S14000053,0.347952793,Paisley and Renfrewshire South,5834,280,2017 General Election,61344,2541,SNP Hold,41712
588,E14000790,0.34755182,Leyton and Wanstead,11776,276,2017 General Election,65149,22607,Lab Hold,46173
589,E14000788,0.345920578,Lewisham West and Penge,15892,419,2017 General Election,72899,23162,Lab Hold,53196
590,E14000882,0.34207637,Poplar and Limehouse,16489,465,2017 General Election,87331,27712,Lab Hold,58814
591,E14000922,0.340060651,"Sheffield, Hallam",12012,502,2017 General Election,73455,2125,Lab Gain,57020
592,E14001036,0.336548028,Westminster North,14131,380,2017 General Election,63846,11512,Lab Hold,43295
593,E14000562,0.336,"Birmingham, Hall Green",6961,243,2017 General Election,78271,33944,Lab Hold,54310
594,E14001013,0.3348858552254216,Walthamstow,13915,263,2017 General Election,67957,32017,Lab Hold,48143
595,E14001005,0.333158577,Twickenham,19478,692,2017 General Election,83362,9762,LD Gain,66290
596,N06000018,0.33152676140762755,West Tyrone,3601,156,2017 General Election,64009,10342,SF Hold,43486
597,E14000755,0.329468448,Hove,17821,578,2017 General Election,74236,18757,Lab Hold,57596
598,N06000015,0.3275612670593908,South Down,6184,288,2017 General Election,75685,2446,SF Gain,50893
599,E14000873,0.325263375,Oxford East,16954,428,2017 General Election,78350,23284,Lab Hold,53896
600,S14000057,0.322849138,Stirling,9634,288,2017 General Election,66415,148,Con Gain,49356
601,S14000002,0.321431052,Aberdeen South,8197,356,2017 General Election,64964,4752,Con Gain,44493
602,W07000050,0.320145785,Cardiff Central,9145,296,2017 General Election,59288,17196,Lab Hold,40367
603,E14000919,0.319119726,Sheffield Central,12520,381,2017 General Election,77560,27748,Lab Hold,47877
604,E14000547,0.317245489,Bath,14455,430,2017 General Election,66778,5694,LD Gain,49583
605,S14000033,0.3149285296,Glasgow North West,8423,218,2017 General Election,63773,2561,SNP Hold,38844
606,E14000615,0.314817703,Camberwell and Peckham,17939,267,2017 General Election,85613,37316,Lab Hold,57412
607,E14000726,0.313136338,Hammersmith,17408,419,2017 General Election,72803,18651,Lab Hold,52252
608,E14000768,0.312045861,Kensington,16792,436,2017 General Election,60588,20,Lab Gain,38677
609,E14000703,0.311007869,Finchley and Golders Green,15406,363,2017 General Election,73329,1657,Con Hold,52385
610,E14000555,0.308583952,Bethnal Green and Bow,19200,323,2017 General Election,86075,35393,Lab Hold,59825
611,N06000003,0.30514408833827095,Belfast South,11560,310,2017 General Election,66105,1996,DUP Gain,43705
612,E14001040,0.2936939467506671,Wimbledon,16527,438,2017 General Election,66780,5622,Con Hold,51526
613,E14000674,0.29150280588573196,Ealing Central and Acton,18225,431,2017 General Election,74200,13807,Lab Hold,55342
614,E14000629,0.290990556,Chelsea and Fulham,15999,576,2017 General Election,63728,8188,Con Hold,42128
615,S14000026,0.2876601964,Edinburgh West,11553,289,2017 General Election,71500,2988,LD Gain,52795
616,S14000029,0.2875060852,Glasgow Central,11257,196,2017 General Election,64346,2267,SNP Hold,35984
617,E14000896,0.286856313,Richmond Park,21823,657,2017 General Election,80025,45,Con Hold,63330
618,E14000764,0.2828310010764263,Islington South and Finsbury,18731,426,2017 General Election,69536,20263,Lab Hold,48049
619,S14000034,0.2819188863,Glasgow South,10452,195,2017 General Election,69126,2027,SNP Hold,44550
620,E14000639,0.280536728,Cities of London and Westminster,19213,712,2017 General Election,61533,3148,Con Hold,38654
621,S14000025,0.2786164648,Edinburgh South West,13695,276,2017 General Election,71178,1097,SNP Hold,49390
622,E14000887,0.277642331,Putney,16055,443,2017 General Election,65031,1554,Con Hold,46894
623,S14000022,0.2763678537,Edinburgh East,14863,227,2017 General Election,65896,3425,SNP Hold,43523
624,E14000793,0.27300662,"Liverpool, Riverside",11544,353,2017 General Election,76332,35947,Lab Hold,48020
625,S14000018,0.268681963,East Dunbartonshire,9890,230,2017 General Election,66300,5339,LD Gain,51801
626,E14000750,0.2665874363327674,Holborn and St Pancras,22385,484,2017 General Election,88088,30509,Lab Hold,58997
627,E14000617,0.2622527310304104,Cambridge,22389,420,2017 General Election,78544,12661,Lab Hold,55934
628,E14000553,0.260503273,Bermondsey and Old Southwark,19818,546,2017 General Election,87282,12972,Lab Hold,58521
629,N06000004,0.2594338110352345,Belfast West,3843,171,2017 General Election,62423,21652,SF Hold,40633
630,E14000598,0.259335501,"Brighton, Pavilion",22933,483,2017 General Election,75486,14699,Green Hold,57687
631,S14000021,0.2568141894,East Renfrewshire,9679,265,2017 General Election,70067,4712,Con Gain,53738
632,E14000998,0.255875841,Tooting,17986,331,2017 General Election,77971,15458,Lab Hold,58171
633,E14000752,0.249829100278698,Hornsey and Wood Green,25653,313,2017 General Election,79946,30738,Lab Hold,62293
634,E14000809,0.249385986,"Manchester, Withington",15515,271,2017 General Election,74654,29875,Lab Hold,53602
635,E14000789,0.244262123,"Lewisham, Deptford",19611,283,2017 General Election,78468,34899,Lab Hold,55112
636,E14001002,0.23777026334665438,Tottenham,13017,182,2017 General Election,72884,34584,Lab Hold,49339
637,E14000727,0.237253193,Hampstead and Kilburn,22845,313,2017 General Election,82957,15560,Lab Hold,58407
638,E14000673,0.229374207,Dulwich and West Norwood,21174,283,2017 General Election,78037,28129,Lab Hold,56116
639,E14000721,0.227822618,Hackney South and Shoreditch,21270,249,2017 General Election,83099,37931,Lab Hold,55354
640,E14001008,0.2242839619,Vauxhall,19717,288,2017 General Election,82055,20250,Lab Hold,55042
641,S14000024,0.2215338737,Edinburgh South,16006,194,2017 General Election,64553,15514,Lab Hold,47840
642,E14000549,0.220467405,Battersea,19312,413,2017 General Election,77574,2416,Lab Gain,55058
643,S14000023,0.2179552346,Edinburgh North and Leith,21860,265,2017 General Election,79473,1625,SNP Hold,56552
644,N06000008,0.21735946691400815,Foyle,6534,146,2017 General Election,70324,169,SF Gain,45965
645,S14000031,0.2162047426,Glasgow North,11665,155,2017 General Election,53862,1060,SNP Hold,33473
646,E14000763,0.21611123620806125,Islington North,21642,274,2017 General Election,74831,33215,Lab Hold,54928
647,E14000602,0.2071150843,Bristol West,29357,395,2017 General Election,93003,37336,Lab Hold,71608
648,E14000978,0.2053967406,Streatham,19362,247,2017 General Election,78649,26285,Lab Hold,55795
649,E14000720,0.204807893,Hackney North and Stoke Newington,22453,213,2017 General Election,85058,35139,Lab Hold,56298
