,ons_code,euref,constituency,revoke_sign_count,nodeal_sign_count,election,electorate,majority,resultOfElection,turnout
108,E14000944,0.6205253266511545,South Shields,2637,804,2017 General Election,63433,14508,Lab Hold,40772
109,E14000843,0.620516723,North East Derbyshire,3757,908,2017 General Election,72097,2860,Con Gain,50380
110,W07000072,0.6202804437,Blaenau Gwent,1676,503,2017 General Election,51227,11907,Lab Hold,32384
111,E14000707,0.619558242,Gainsborough,4095,1201,2017 General Election,75893,17023,Con Hold,51425
112,E14000762,0.6194633409,Isle of Wight,7887,1595,2017 General Election,110683,21069,Con Hold,74479
113,E14001020,0.6185133239831697,Washington and Sunderland West,2625,890,2017 General Election,67280,12940,Lab Hold,40574
114,E14000713,0.618151926,Gosport,4018,1348,2017 General Election,74152,17211,Con Hold,49481
115,E14000537,0.6180980255110956,Ashton-under-Lyne,2998,762,2017 General Election,65751,11295,Lab Hold,39773
116,E14000565,0.618,"Birmingham, Northfield",3949,785,2017 General Election,72322,4667,Lab Hold,44348
117,W07000048,0.617925537,Swansea East,2873,600,2017 General Election,58521,13168,Lab Hold,35159
118,E14000765,0.617773494,Jarrow,3142,779,2017 General Election,64778,17263,Lab Hold,43023
119,E14000948,0.61691047,South Thanet,6088,1155,2017 General Election,72334,6387,Con Hold,49753
120,E14000834,0.616449863,Newcastle-under-Lyme,3770,857,2017 General Election,65596,30,Lab Hold,43842
121,E14000704,0.616404102,Folkestone and Hythe,6677,1462,2017 General Election,86272,15411,Con Hold,58875
122,E14001012,0.6163527586970973,Walsall South,2475,536,2017 General Election,67417,8892,Lab Hold,44072
123,E14001016,0.616275351,Warley,2887,415,2017 General Election,63739,16483,Lab Hold,40206
124,E14000929,0.615831667,Sleaford and North Hykeham,5418,1479,2017 General Election,90929,25237,Con Hold,65797
125,E14000590,0.615156402,Braintree,4658,1075,2017 General Election,75316,18422,Con Hold,52326
126,E14000778,0.61444348,Leeds East,2945,664,2017 General Election,65950,12752,Lab Hold,41441
127,E14000663,0.613534511,Derby South,3474,658,2017 General Election,69918,11248,Lab Hold,45306
128,E14000913,0.6131829,Scarborough and Whitby,4170,1009,2017 General Election,73599,3435,Con Hold,50449
129,E14000871,0.6130829723705791,Oldham West and Royton,2305,688,2017 General Election,72401,17198,Lab Hold,45788
130,E14000594,0.611892869,Brentwood and Ongar,5515,1093,2017 General Election,75067,24002,Con Hold,52910
131,E14000693,0.610112858,Epping Forest,5922,893,2017 General Election,74737,18243,Con Hold,50779
132,E14001053,0.61010184,Workington,3032,780,2017 General Election,60265,3925,Lab Hold,41676
133,E14000714,0.609959141,Grantham and Stamford,5574,1397,2017 General Election,81740,20094,Con Hold,56593
134,E14000892,0.609899582,Redditch,3780,918,2017 General Election,64413,7363,Con Hold,45203
135,E14000769,0.6098836886,Kettering,4518,1059,2017 General Election,71440,10562,Con Hold,49404
136,E14000661,0.6098402815376286,Denton and Reddish,3504,732,2017 General Election,67674,14077,Lab Hold,39599
137,E14000806,0.609560321,Maldon,4308,1216,2017 General Election,71470,23430,Con Hold,50202
138,E14000899,0.609203445,Rochford and Southend East,4755,1062,2017 General Election,73501,5548,Con Hold,47248
139,E14000569,0.608859751,Bishop Auckland,2977,847,2017 General Election,67661,502,Lab Hold,43281
140,E14000583,0.608293639,Bosworth,4811,1122,2017 General Election,81661,18351,Con Hold,56168
141,W07000053,0.607752165,Torfaen,2814,646,2017 General Election,61839,10240,Lab Hold,38429
142,E14000858,0.6069847772,North West Leicestershire,4642,970,2017 General Election,75362,13286,Con Hold,53541
143,E14000876,0.606512766,Penistone and Stocksbridge,4223,996,2017 General Election,71293,1322,Lab Hold,49787
144,E14000620,0.606437746,Carlisle,3306,908,2017 General Election,62294,2599,Con Hold,43056
145,E14000816,0.605981283,Mid Norfolk,5521,1096,2017 General Election,80027,16086,Con Hold,55668
146,E14000575,0.604948533,Blyth Valley,2998,888,2017 General Election,63415,7915,Lab Hold,42490
147,E14001045,0.604684297,Witham,4742,964,2017 General Election,69137,18646,Con Hold,49241
148,W07000052,0.604499008,Rhondda,1907,426,2017 General Election,50514,13746,Lab Hold,32936
149,E14000743,0.604175582,Hereford and South Herefordshire,5615,929,2017 General Election,71088,15013,Con Hold,50484
150,E14000935,0.6035100097,South Derbyshire,4641,1047,2017 General Election,76380,11970,Con Hold,52631
151,E14000840,0.60304872,North Durham,3150,804,2017 General Election,66970,12939,Lab Hold,43284
152,E14000959,0.60299599,Spelthorne,6301,929,2017 General Election,72641,13425,Con Hold,50115
153,E14000955,0.602947341,"Southampton, Itchen",6284,872,2017 General Election,71722,31,Con Hold,46783
154,E14000653,0.602891232,Crewe and Nantwich,5272,994,2017 General Election,78895,48,Lab Gain,55027
155,E14000861,0.6027129,Northampton North,3989,715,2017 General Election,58861,807,Con Hold,40378
156,E14000837,0.601925003,North Cornwall,5221,996,2017 General Election,68844,7200,Con Hold,50944
157,E14000827,0.601781451,New Forest East,5638,1005,2017 General Election,72602,21995,Con Hold,51366
158,E14000648,0.601468893,Corby,5506,1178,2017 General Election,83020,2690,Con Hold,59997
159,W07000049,0.60124484,Aberavon,2319,510,2017 General Election,49892,16761,Lab Hold,33268
160,E14000568,0.601,"Birmingham, Yardley",2788,552,2017 General Election,72581,16574,Lab Hold,44502
161,E14000540,0.599748796,Barking,3932,522,2017 General Election,77022,21608,Lab Hold,47679
162,E14000921,0.599736792,"Sheffield, Brightside and Hillsborough",3408,701,2017 General Election,70344,19143,Lab Hold,41870
163,E14000638,0.599639612,Christchurch,4971,1010,2017 General Election,70309,25171,Con Hold,50634
164,E14000982,0.5993816529371485,Sunderland Central,3514,867,2017 General Election,72728,9997,Lab Hold,45111
165,E14000870,0.5992043445314473,Oldham East and Saddleworth,3553,775,2017 General Election,72184,8182,Lab Hold,47037
166,W07000062,0.598838563,Clwyd South,3081,539,2017 General Election,53729,4356,Lab Hold,37474
167,E14001060,0.598655446,Yeovil,5478,1142,2017 General Election,82916,14723,Con Hold,59404
168,E14000536,0.598619474,Ashford,6899,1281,2017 General Election,87387,17478,Con Hold,59879
169,E14000849,0.598481185,North Shropshire,4960,1147,2017 General Election,80535,16355,Con Hold,55599
170,E14000826,0.598172774,Morley and Outwood,4438,1083,2017 General Election,76495,2104,Con Hold,52357
171,E14001054,0.5979113324328138,Worsley and Eccles South,4382,833,2017 General Election,73689,8379,Lab Hold,45642
172,E14000772,0.597896657,Kingston upon Hull North,3623,717,2017 General Election,64665,14322,Lab Hold,37122
173,E14000548,0.596283976,Batley and Spen,3112,892,2017 General Election,80161,8961,Lab Hold,53780
174,E14000853,0.595207188,North Tyneside,4731,998,2017 General Election,78914,19284,Lab Hold,51892
175,E14000936,0.594456091,South Dorset,5424,1091,2017 General Election,72323,11695,Con Hold,51906
176,E14000915,0.594357506,Sedgefield,2767,870,2017 General Election,63889,6059,Lab Hold,41591
177,E14000818,0.593865282,Mid Worcestershire,5352,986,2017 General Election,76057,23326,Con Hold,55089
178,W07000055,0.593309312,Newport East,3287,629,2017 General Election,57233,8003,Lab Hold,36820
179,E14000992,0.593223132,The Wrekin,4004,858,2017 General Election,68604,9564,Con Hold,49523
180,E14000632,0.592932532,Chesterfield,4074,817,2017 General Election,72069,9605,Lab Hold,47927
181,E14000967,0.5929072930063884,Stalybridge and Hyde,3980,835,2017 General Election,71409,8084,Lab Hold,42457
182,E14000647,0.591965837,Copeland,3290,882,2017 General Election,61751,1695,Con Gain,42927
183,E14000800,0.591531961,Luton North,2940,433,2017 General Election,66811,14364,Lab Hold,46622
184,E14000734,0.589955845,Harwich and North Essex,5905,1050,2017 General Election,71294,14356,Con Hold,51141
185,E14000862,0.589952188,Northampton South,4424,760,2017 General Election,61766,1159,Con Hold,41034
186,W07000077,0.58939917,Islwyn,2505,573,2017 General Election,56256,11412,Lab Hold,36093
187,E14000902,0.589357362,Rossendale and Darwen,4084,1064,2017 General Election,72486,3216,Con Hold,50156
188,W07000074,0.589024508,Ogmore,2798,553,2017 General Election,57125,13871,Lab Hold,37204
189,E14000723,0.5882165334240517,Halifax,3349,845,2017 General Election,71224,5376,Lab Hold,48276
190,E14000712,0.58812171,Gloucester,5298,977,2017 General Election,82965,5520,Con Hold,54071
191,E14000812,0.5880843467588976,Meriden,5382,960,2017 General Election,81443,19198,Con Hold,54643
192,E14000556,0.587394756,Beverley and Holderness,4664,1215,2017 General Election,80657,14042,Con Hold,55638
193,E14000894,0.587308918,Ribble Valley,5098,1023,2017 General Election,77968,13199,Con Hold,55200
194,E14000700,0.58670455,Faversham and Mid Kent,6165,936,2017 General Election,66425,17413,Con Hold,49749
195,E14000905,0.586175818,Rugby,5717,946,2017 General Election,72175,8212,Con Hold,51336
196,E14000660,0.585894934,Daventry,6303,1125,2017 General Election,75268,21734,Con Hold,55663
197,E14000652,0.584136714,Crawley,5155,832,2017 General Election,73425,2457,Con Hold,50273
198,E14000616,0.584128528,Camborne and Redruth,5370,856,2017 General Election,68419,1577,Con Hold,48456
199,E14000848,0.584002867,North Norfolk,4651,1024,2017 General Election,69271,3512,LD Hold,52188
200,E14000962,0.583928578,St Helens North,3825,806,2017 General Election,76088,18406,Lab Hold,50222
201,E14000650,0.5837436,Coventry North West,4893,762,2017 General Election,75196,8580,Lab Hold,49849
202,W07000071,0.583543388,Merthyr Tydfil and Rhymney,2099,530,2017 General Election,55463,16334,Lab Hold,33545
203,E14000688,0.583419781,Ellesmere Port and Neston,4513,685,2017 General Election,68666,11390,Lab Hold,50939
204,E14000737,0.582450013,Hayes and Harlington,3762,488,2017 General Election,73268,18115,Lab Hold,47802
205,E14000825,0.581856206,Morecambe and Lunesdale,4201,827,2017 General Election,66818,1399,Con Hold,45657
206,E14000940,0.581420532,South Leicestershire,5143,932,2017 General Election,78985,18631,Con Hold,56689
207,E14000578,0.581127597,Bolton North East,3180,757,2017 General Election,67233,3797,Lab Hold,45183
208,E14000658,0.580996502,Darlington,3725,820,2017 General Election,66341,3280,Lab Hold,44817
209,E14000949,0.580834155,South West Bedfordshire,6122,970,2017 General Election,79658,14168,Con Hold,55635
210,E14001017,0.580743911,Warrington North,4302,836,2017 General Election,71918,9582,Lab Hold,48517
211,W07000043,0.580533688,Alyn and Deeside,4050,675,2017 General Election,63013,5235,Lab Hold,44760
212,E14000847,0.580189343,North Herefordshire,5968,911,2017 General Election,67751,21602,Con Hold,50177
213,E14000530,0.5789776574136763,Aldershot,5744,975,2017 General Election,76205,11473,Con Hold,48950
214,E14000705,0.578888968,Forest of Dean,5201,796,2017 General Election,70898,9502,Con Hold,51767
215,E14000799,0.578840184,Ludlow,5266,869,2017 General Election,68034,19286,Con Hold,49970
216,E14000625,0.578746718,Charnwood,4823,828,2017 General Election,78071,16341,Con Hold,55176
217,E14000996,0.578205268,Tiverton and Honiton,6689,1042,2017 General Election,80731,19801,Con Hold,57815
218,E14000649,0.577745682,Coventry North East,3672,645,2017 General Election,75759,15580,Lab Hold,46508
219,E14000971,0.577643917,Stockton South,4019,1025,2017 General Election,75625,888,Lab Gain,53824
220,E14000585,0.577317666,Bournemouth West,6397,951,2017 General Election,73195,7711,Con Hold,44507
221,E14000557,0.577212146,Bexhill and Battle,6966,1278,2017 General Election,81331,22165,Con Hold,59472
222,E14000725,0.576668684,Halton,3797,773,2017 General Election,73457,25405,Lab Hold,49518
223,E14000917,0.576526008,Selby and Ainsty,5453,1170,2017 General Election,75918,13772,Con Hold,56076
224,W07000044,0.575742546,Wrexham,3121,461,2017 General Election,49881,1832,Lab Hold,35092
225,E14000684,0.575444606,Eastbourne,6936,1089,2017 General Election,78754,1609,LD Gain,57420
226,E14000872,0.5754149842978914,Orpington,6196,956,2017 General Election,67902,19461,Con Hold,50461
227,E14000975,0.575352222,Stone,3981,990,2017 General Election,67824,17495,Con Hold,50032
228,E14000791,0.575089022,Lichfield,5102,920,2017 General Election,74430,18581,Con Hold,53524
229,E14000965,0.574625083,Stafford,4853,929,2017 General Election,68445,7729,Con Hold,51924
230,E14000897,0.5745003587168187,Rochdale,2817,734,2017 General Election,78064,14819,Lab Hold,50044
231,E14000792,0.574326337,Lincoln,5825,978,2017 General Election,73111,1538,Lab Gain,48718
232,E14000881,0.574193151,Poole,6177,1005,2017 General Election,73796,14209,Con Hold,49850
233,E14000851,0.572856138,North Swindon,5740,994,2017 General Election,80168,8335,Con Hold,54911
234,E14000543,0.572787064,Barrow and Furness,3533,800,2017 General Election,69474,209,Lab Hold,47590
235,E14001038,0.57201446,Weston-super-Mare,6248,1137,2017 General Election,82136,11544,Con Hold,56415
236,E14001000,0.571897604,Torridge and West Devon,6408,1148,2017 General Election,80524,20686,Con Hold,59480
237,E14001007,0.571873736,Uxbridge and South Ruislip,6026,681,2017 General Election,69936,5034,Con Hold,46694
238,E14000923,0.571613101,"Sheffield, Heeley",5837,642,2017 General Election,68040,13828,Lab Hold,44226
239,E14000666,0.571465485,Dewsbury,4017,956,2017 General Election,81343,3321,Lab Hold,56545
240,E14000774,0.571216387,Kingswood,5412,694,2017 General Election,69368,7500,Con Hold,48741
241,E14000815,0.570831648,Mid Dorset and North Poole,5520,916,2017 General Election,65050,15339,Con Hold,48254
242,E14000838,0.5703847943,North Devon,5588,983,2017 General Election,75801,4332,Con Hold,55705
243,E14000968,0.570369086,Stevenage,5270,786,2017 General Election,70765,3386,Con Hold,49327
244,E14000855,0.56934097,North West Cambridgeshire,7129,1368,2017 General Election,93221,18008,Con Hold,63991
245,E14000954,0.568813673,South West Wiltshire,6403,1065,2017 General Election,76898,18326,Con Hold,54751
246,E14000833,0.568289241,Newcastle upon Tyne North,5842,771,2017 General Election,66073,10349,Lab Hold,48288
247,E14000689,0.56793101,Elmet and Rothwell,5951,933,2017 General Election,80291,9805,Con Hold,59542
248,E14000637,0.56745851,Chorley,5048,1033,2017 General Election,76404,7512,Lab Hold,55634
249,W07000070,0.567322317,Cynon Valley,2070,553,2017 General Election,51334,13238,Lab Hold,31802
250,E14000706,0.56728643,Fylde,4381,938,2017 General Election,65937,11805,Con Hold,46467
251,E14000863,0.567266216,Norwich North,6027,664,2017 General Election,66924,507,Con Hold,45895
252,W07000045,0.566745967,Llanelli,3150,708,2017 General Election,59434,12024,Lab Hold,40342
253,E14000943,0.566389437,South Ribble,5100,1044,2017 General Election,75752,7421,Con Hold,54833
254,E14000839,0.566086028,North Dorset,6543,1032,2017 General Election,76324,25777,Con Hold,55724
255,W07000060,0.565590817,Vale of Clwyd,2965,640,2017 General Election,56890,2379,Lab Gain,38684
256,E14000761,0.565157235,Ipswich,6044,845,2017 General Election,75668,836,Lab Gain,51154
257,E14000993,0.56432781,Thirsk and Malton,5699,1048,2017 General Election,78670,19001,Con Hold,55929
